"ID","Requirement","Priority","Target","Verify"
"CAP-004","The system shall create a mixed playback track without destroying the original synchronized source tracks.","P1","R2","Test"
"CAP-005","The system shall timestamp captured frames using a monotonic clock suitable for cross-track alignment.","P0","R2","Test"
"CAP-006","If microphone and system tracks drift beyond the configured tolerance, the system shall correct or flag the drift without truncating content.","P0","R2","Test/Perf"
"CAP-007","When the active audio device changes, the system shall offer to switch devices and shall preserve the existing meeting timeline.","P0","R2","Test/Demo"
"CAP-008","If an active audio device disconnects, the system shall continue capturing available sources and display a recoverable warning.","P0","R2","Test"
"CAP-009","The system shall allow the user to select microphone, system source, sample rate profile, and optional noise controls before recording.","P1","R2","Demo"
"CAP-010","The system shall provide a live input meter for each enabled source.","P0","R2","Demo"
"CAP-011","If clipping is detected, the system shall warn the user and provide an actionable gain recommendation where platform controls allow it.","P1","R2","Test/Demo"
"CAP-012","If prolonged silence is detected after recording starts, the system shall ask whether the intended sources are selected without stopping automatically.","P1","R2","Test/Demo"
"CAP-013","The system shall support manual start, pause, resume, stop, and privacy-pause controls through the main window and configurable global shortcuts.","P0","R2","Test/Demo"
"CAP-014","When capture is paused, the system shall preserve timeline continuity and mark the paused interval in meeting metadata.","P0","R2","Test"
"CAP-015","When recording is stopped, the system shall finalize playable media before starting nonessential post-processing.","P0","R2","Test"
"CAP-016","The system shall write media incrementally so an unexpected process termination does not discard the complete meeting.","P0","R2","Test"
"CAP-017","When the application restarts after an interrupted recording, the system shall detect recoverable sessions and offer repair before normal library use.","P0","R2","Test/Demo"
"CAP-018","If session repair cannot recover a complete container, the system shall preserve recoverable raw segments and provide a diagnostic explanation.","P0","R2","Test"
"CAP-019","The system shall journal capture state, source configuration, and media segment checksums during recording.","P0","R2","Test"
"CAP-020","If free disk space falls below the warning threshold, the system shall warn the user and estimate remaining safe recording time.","P0","R2","Test/Demo"
"CAP-021","If free disk space falls below the stop threshold, the system shall finalize the current media segment and stop safely rather than corrupt the recording.","P0","R2","Test"
"CAP-022","The system shall provide a Record Only mode that disables live transcription and summarization.","P0","R2","Test/Demo"
"CAP-023","Where Deferred Processing mode is enabled, the system shall enqueue transcription after recording and show the pending state.","P0","R2","Test/Demo"
"CAP-024","The system shall allow users to add timestamped markers and notes during recording without interrupting capture.","P1","R2","Test/Demo"
"CAP-025","When a supported conferencing application starts a call, the system shall detect the event and display the configured recording prompt.","P0","R2","Test/Demo"
"CAP-026","Where automatic recording is enabled for an application, the system shall start capture after the configured consent and countdown behavior.","P1","R2","Test/Demo"
"CAP-027","When a detected call ends, the system shall stop capture after a configurable grace period unless the user elects to continue.","P1","R2","Test/Demo"
"CAP-028","If multiple supported meeting applications are active, the system shall ask the user to select the intended source context or record a clearly labeled combined session.","P0","R2","Test/Demo"
"CAP-029","The system shall allow per-application enablement, exclusion, auto-start, and auto-stop preferences.","P1","R2","Demo"
"CAP-030","The system shall support manual meeting mode for unsupported applications and in-person sessions.","P0","R2","Demo"
"CAP-031","When calendar access is authorized, the system shall use meeting title, time, link, attendees, and organizer as suggested metadata without joining the call.","P1","R2","Test/Demo"
"CAP-032","If calendar and detected-call metadata conflict, the system shall show the ambiguity and allow the user to select the correct event.","P1","R2","Test/Demo"
"CAP-033","The system shall not send a meeting bot or join a conference unless a separately enabled future feature explicitly requires it.","P0","R2","Inspect/Test"
"CAP-034","The system shall detect consecutive recordings with overlapping context and suggest merging them.","P1","R5","Test/Demo"
"CAP-035","When the user merges recordings, the system shall preserve original media and a reversible merge history until the user confirms permanent consolidation.","P1","R5","Test"
"CAP-036","The system shall allow capture-source attribution to be preserved through transcription, export, and reprocessing.","P0","R3","Test"
"CAP-037","The system shall expose capture health including active sources, dropped-frame count, buffer pressure, disk state, and processing lag in an optional diagnostics view.","P1","R11","Test/Demo"
"CAP-038","While recording, the system shall prioritize uninterrupted media persistence over live transcription, indexing, animations, or nonessential network activity.","P0","R2","Perf/Test"
"CAP-039","If system load threatens audio continuity, the system shall degrade or pause nonessential processing and inform the user after capture is safe.","P0","R2","Perf/Test"
"CAP-040","The system shall pass a continuous 24-hour capture soak test on each supported desktop platform.","P0","R11","Perf"
"CAP-041","The system shall preserve an audit event for recording start, pause, resume, privacy pause, source change, and stop.","P1","R8","Test/Audit"
"CAP-042","Where optional screen or video capture is enabled, the system shall require a separate explicit activation and display a distinct active-capture indicator.","P1","R10","Test/Demo"
"INT-001","The system shall export transcripts in TXT, Markdown, VTT, SRT, and versioned JSON formats.","P0","R7","Test"
"INT-002","The system shall export summaries and structured outcomes in Markdown, HTML, PDF, DOCX, and versioned JSON formats where supported.","P1","R7","Test"
"INT-003","The system shall export action items and decisions in CSV and versioned JSON formats.","P1","R7","Test"
"INT-004","The system shall create a portable meeting bundle containing selected media, transcripts, artifacts, metadata, checksums, and a manifest.","P0","R7","Test"
"INT-005","When a meeting bundle is imported, the system shall validate schema compatibility and checksums before adding content to the library.","P0","R7","Test/Demo"
"INT-006","If an imported bundle uses a newer unsupported schema, the system shall preserve the file and explain the compatibility limitation.","P0","R7","Test"
"INT-007","The system shall allow users to choose whether exports include speaker profiles, local model provenance, revision history, and private notes.","P0","R7","Demo"
"INT-008","The system shall preserve timestamps, speaker labels, evidence links, and relationships in machine-readable exports.","P0","R7","Test"
"INT-009","The system shall provide a generic outbound webhook for meeting-created, meeting-completed, artifact-approved, task-updated, and export-ready events.","P0","R7","Test"
"INT-010","The system shall sign webhook payloads with a workspace-specific secret.","P0","R7","Test/Inspect"
"INT-011","The system shall include an idempotency key and schema version in every webhook delivery.","P0","R7","Test"
"INT-012","If a webhook delivery fails, the system shall retry using a bounded backoff policy and expose the next retry time.","P0","R7","Test/Demo"
"INT-013","If a webhook returns a permanent failure, the system shall stop automatic retries and request user intervention.","P0","R7","Test/Demo"
"INT-014","The system shall provide a webhook test function that shows the exact payload and response without requiring a real meeting.","P1","R7","Test/Demo"
"INT-015","The system shall provide an approval queue for every outbound message, task, document, CRM note, calendar action, webhook, and share action.","P0","R7","Test/Demo"
"INT-016","Where automatic sending is enabled, the system shall restrict automation to approved templates, destinations, scopes, fields, and conditions and shall never send raw meeting content by default.","P1","R7","Test/Audit"
"INT-017","The system shall display exactly which meeting fields will leave the device, the destination, and the purpose before a user approves an outbound action.","P0","R7","Demo"
"INT-018","The system shall allow users to revoke connector credentials and cancel queued jobs for that connector.","P0","R7","Test/Demo"
"INT-019","The system shall store connector credentials in a protected secrets store.","P0","R7","Inspect/Test"
"INT-020","The system shall provide connector health, token expiry, permission scope, last success, last failure, and remediation guidance.","P1","R7","Test/Demo"
"INT-021","The system shall support sending approved meeting notes and follow-ups to Slack and Microsoft Teams.","P1","R7","Test/Demo"
"INT-022","The system shall support publishing approved artifacts to Notion, Google Docs, and Microsoft OneNote.","P1","R7","Test/Demo"
"INT-023","The system shall support creating and updating tasks in Jira, Linear, and Asana.","P1","R7","Test/Demo"
"INT-024","The system shall support creating approved meeting notes, contacts, activities, and follow-ups in HubSpot and Salesforce.","P1","R7","Test/Demo"
"INT-025","When an external task is created, the system shall store the external identifier and destination link.","P0","R7","Test"
"INT-026","Where bidirectional task sync is enabled, the system shall reconcile supported status changes without duplicating the task.","P1","R7","Test"
"INT-027","If an external record was modified outside Menie, the system shall show the conflict before overwriting supported fields.","P1","R7","Test/Demo"
"INT-028","The system shall support calendar event creation and agenda attachment for approved follow-up meetings.","P1","R7","Test/Demo"
"INT-029","The system shall allow routing rules based on template, project, participant, tag, meeting source, and approved artifact type.","P1","R7","Test/Demo"
"INT-030","The system shall allow users to disable an automation rule without deleting its configuration or history.","P1","R7","Test/Demo"
"INT-031","The system shall provide an automation run history including trigger, input scope, approval, destination, result, retries, and actor.","P1","R7","Test/Audit"
"INT-032","The system shall publish a versioned connector SDK with authentication, schema, error, retry, and privacy requirements.","P2","R7","Inspect/Test"
"INT-033","A third-party connector shall pass conformance tests before it can be marked verified.","P2","R7","Test/Audit"
"INT-034","The system shall provide documented n8n workflow examples for common meeting-completion and action-item flows.","P1","R7","Inspect/Demo"
"INT-035","The system shall prevent connector code from accessing meetings or fields outside its approved scope and shall isolate connectors from local model prompts, embeddings, and unrelated artifacts.","P0","R8","Test/Audit"
"INT-036","The system shall allow export and connector actions to be disabled by administrator policy.","P1","R8","Test/Audit"
"INT-037","The system shall allow users to redact selected transcript text or media regions before export or sharing.","P1","R10","Test/Demo"
"INT-038","When redaction is applied to a delivered artifact, the system shall exclude recoverable original content from the exported copy.","P0","R10","Test/Audit"
"KNO-001","The system shall provide a chat interface scoped to the active meeting.","P0","R6","Test/Demo"
"KNO-002","When answering a meeting-scoped question, the system shall cite transcript timestamps or artifact evidence used in the answer.","P0","R6","Test/Demo"
"KNO-003","The system shall provide Chat with History across user-selected projects, folders, participants, tags, and date ranges.","P0","R6","Test/Demo"
"KNO-004","Before a cross-meeting query is executed, the system shall display the active knowledge scope.","P0","R6","Demo"
"KNO-005","The system shall generate embeddings, retrieve evidence, and generate answers locally using approved embedded models.","P0","R6","Test"
"KNO-006","The system shall display the active local embedding model, local Gemma profile, indexed scope, expected resource use, and 100% Local AI state before indexing or answering.","P0","R6","Test/Demo"
"KNO-007","The system shall index transcript chunks, meeting metadata, decisions, tasks, risks, and approved artifacts.","P0","R6","Test"
"KNO-008","The system shall exclude trashed, expired, access-restricted, or explicitly excluded content from retrieval.","P0","R6","Test"
"KNO-009","When a meeting changes, the system shall update only affected index entries rather than rebuilding the complete index.","P1","R6","Test/Perf"
"KNO-010","When an embedding model changes, the system shall support a resumable re-index and preserve the old index until the new index is verified.","P1","R6","Test"
"KNO-011","The system shall support hybrid retrieval using keyword, vector, metadata, recency, and entity signals.","P1","R6","Test"
"KNO-012","The system shall provide direct answer, chronology, comparison, decision history, task status, and evidence-list answer modes.","P1","R6","Demo"
"KNO-013","When evidence is insufficient, the system shall state that it cannot answer reliably and show the closest available sources.","P0","R6","Test/Demo"
"KNO-014","The system shall not fabricate a meeting, speaker, decision, task, date, or quote absent from retrieved evidence.","P0","R6","Test/Audit"
"KNO-015","The system shall allow users to open every cited source in its original meeting context.","P0","R6","Test/Demo"
"KNO-016","The system shall allow users to exclude a meeting or project from knowledge indexing.","P1","R6","Test/Demo"
"KNO-017","The system shall allow users to delete and rebuild indexes without deleting source meetings.","P1","R6","Test/Demo"
"KNO-018","The system shall provide local index health including embedding model, version, coverage, queue state, errors, disk usage, and no-egress verification state.","P1","R6","Demo"
"KNO-019","If indexing fails for one meeting, the system shall continue indexing other eligible meetings and surface the failed item.","P0","R6","Test"
"KNO-020","The system shall allow users to export and import compatible local indexes with model and schema metadata.","P2","R6","Test"
"KNO-021","The system shall apply workspace and object permissions before retrieval, generation, citation display, and export.","P0","R8","Test/Audit"
"KNO-022","The system shall apply retention and legal-hold policies to knowledge indexes.","P1","R8","Test/Audit"
"KNO-023","The system shall protect against prompt instructions embedded in transcript content by treating retrieved meeting text as untrusted data.","P0","R6","Test/Inspect"
"KNO-024","The system shall separate system instructions, user query, retrieved evidence, and tool output in the generation pipeline.","P0","R6","Inspect/Test"
"KNO-025","The system shall provide a local evaluation harness for retrieval relevance, citation correctness, answer groundedness, and refusal behavior.","P0","R11","Test/Audit"
"KNO-026","The system shall log local model, prompt, retrieval, and citation provenance for each answer while respecting privacy and retention settings.","P1","R6","Test/Audit"
"KNO-027","The system shall support follow-up questions that retain the selected knowledge scope and cited conversation context.","P1","R6","Test/Demo"
"KNO-028","When the user changes knowledge scope, the system shall clearly reset or annotate prior conversational assumptions.","P1","R6","Test/Demo"
"KNO-029","The system shall allow an answer to be converted into a note, task, decision review, agenda item, or export draft.","P1","R7","Test/Demo"
"KNO-030","The system shall meet profile-specific response-latency and memory targets for local queries on reference hardware and provide progress for longer operations.","P1","R11","Perf/Demo"
"LIB-001","The system shall provide a meeting library with list, compact, and timeline views.","P1","R5","Demo"
"LIB-002","The system shall allow meetings to be organized by folder, project, client, tag, participant, and custom saved view.","P0","R5","Test/Demo"
"LIB-003","The system shall allow one meeting to belong to multiple tags and one primary project.","P1","R5","Test"
"LIB-004","The system shall provide full-text search across meeting titles, transcript text, summaries, decisions, tasks, risks, notes, and tags.","P0","R5","Test/Perf"
"LIB-005","The system shall support filters by date, participant, speaker, source application, project, language, status, and processing state.","P0","R5","Test/Demo"
"LIB-006","When search results are displayed, the system shall show the matching text, meeting context, and timestamp where applicable.","P0","R5","Test/Demo"
"LIB-007","The system shall allow users to save and name a search and filter combination.","P1","R5","Demo"
"LIB-008","The system shall provide default views for Needs Review, Failed Processing, Open Actions, Unassigned Actions, Unsent Follow-ups, and Recently Recorded.","P1","R5","Demo"
"LIB-009","The system shall allow meetings to be pinned, archived, restored, or moved to trash.","P0","R5","Test/Demo"
"LIB-010","When meetings are moved to trash, the system shall preserve them for the configured retention period and exclude them from normal search and RAG.","P0","R5","Test"
"LIB-011","The system shall support bulk tagging, project assignment, archive, export, reprocess, delete, and retention changes.","P1","R5","Test/Demo"
"LIB-012","While a bulk operation is running, the system shall show progress and allow cancellation where safe.","P1","R5","Test/Demo"
"LIB-013","If a bulk operation is interrupted, the system shall resume from the last completed item without duplicating work.","P0","R5","Test"
"LIB-014","The system shall allow users to merge consecutive meetings and preserve the source-meeting lineage.","P0","R5","Test/Demo"
"LIB-015","The system shall allow users to split a meeting at selected timestamps and preserve source media references.","P1","R5","Test/Demo"
"LIB-016","When a meeting is merged or split, the system shall offer to regenerate dependent transcripts, artifacts, and indexes.","P1","R5","Test/Demo"
"LIB-017","The system shall detect likely duplicate imports using checksums, duration, and metadata.","P1","R5","Test"
"LIB-018","If a duplicate is detected, the system shall allow keep, link, replace, or cancel without deleting data automatically.","P1","R5","Demo"
"LIB-019","The system shall allow the user to change the meeting storage location through the UI.","P0","R5","Test/Demo"
"LIB-020","When relocating a library, the system shall verify checksums before switching the active location.","P0","R5","Test"
"LIB-021","If library relocation is interrupted, the system shall retain the original as authoritative until verification completes.","P0","R5","Test"
"LIB-022","The system shall provide local backup schedules and manual backup controls.","P1","R5","Test/Demo"
"LIB-023","When a backup completes, the system shall verify the backup manifest and report any unreadable asset.","P0","R5","Test"
"LIB-024","The system shall allow restoration into a new library for validation before replacing an existing library.","P1","R5","Test/Demo"
"LIB-025","The system shall provide project dashboards showing chronology, recent decisions, open tasks, risks, participants, and unresolved questions.","P1","R5","Demo"
"LIB-026","The system shall allow users to define custom meeting statuses and status-based views.","P2","R5","Demo"
"LIB-027","The system shall support keyboard navigation and screen-reader labels throughout the library and search experience.","P0","R11","Audit/Demo"
"LIB-028","The system shall meet the defined search latency target with at least 100,000 transcript segments on reference hardware.","P0","R11","Perf"
"LIB-029","The system shall provide a storage-usage view by media, transcript, model, index, cache, trash, and backup.","P1","R5","Demo"
"LIB-030","When storage cleanup is requested, the system shall preview recoverable space and affected content before deletion.","P0","R5","Test/Demo"
"MOB-001","The system shall provide iOS and Android applications capable of reliable in-person audio recording.","P1","R9","Test/Demo"
"MOB-002","The mobile application shall display an unambiguous active-recording indicator according to platform rules.","P0","R9","Test/Demo"
"MOB-003","The mobile application shall write encrypted media incrementally during recording.","P0","R9","Test"
"MOB-004","If the mobile application is interrupted, the system shall recover the partial session on next launch.","P0","R9","Test"
"MOB-005","While the screen is locked, the mobile application shall continue recording where the operating system permits it.","P0","R9","Test"
"MOB-006","The mobile application shall support start, pause, resume, marker, privacy pause, and stop from supported lock-screen or notification controls.","P1","R9","Test/Demo"
"MOB-007","The mobile application shall warn the user about battery, thermal, storage, microphone, Bluetooth, and background-execution conditions that threaten capture.","P0","R9","Test/Demo"
"MOB-008","If a phone call or higher-priority audio session interrupts recording, the mobile application shall preserve the current file and clearly report the interruption.","P0","R9","Test"
"MOB-009","The system shall support on-device lightweight transcription and local summary generation on compatible mobile hardware using the hardware-recommended profile available for that platform.","P1","R9","Test/Perf"
"MOB-010","Where on-device processing is unavailable or disabled, the system shall support encrypted transfer for deferred processing on a paired desktop Menie installation; no cloud AI fallback shall be offered.","P0","R9","Test"
"MOB-011","The system shall support encrypted QR-based pairing between mobile and desktop devices.","P1","R9","Test/Demo"
"MOB-012","When transferring a recording over the local network, the system shall verify integrity before marking the transfer complete.","P0","R9","Test"
"MOB-013","If a transferred recording already exists, the system shall prevent duplicate import and offer merge or keep-both options.","P1","R9","Test/Demo"
"MOB-014","The system shall support optional encrypted peer-to-peer or self-hosted synchronization across authorized devices.","P1","R9","Test"
"MOB-015","The mobile application shall support voice memo and audio-file import.","P1","R9","Test/Demo"
"MOB-016","The mobile application shall allow users to attach timestamped photos, whiteboards, and notes to a meeting.","P1","R9","Test/Demo"
"MOB-017","The mobile application shall allow project, tag, template, language, and consent-state selection before or after recording.","P1","R9","Demo"
"MOB-018","The mobile application shall function in offline local-only mode without requiring an account.","P0","R9","Test"
"MOB-019","The mobile application shall disclose before any content leaves the device for synchronization or an approved integration and shall never route meeting content to an external AI provider.","P0","R9","Test/Demo"
"MOB-020","The mobile application shall meet accessibility and localization requirements equivalent to the desktop product.","P0","R11","Audit/Demo"
"ONB-001","The system shall provide a guided first-run flow that explains permissions, audio sources, the strict local-only AI boundary, the hardware benchmark, three Gemma profiles, storage, and privacy in plain language.","P0","R1","Demo"
"ONB-002","When the application is launched for the first time, the system shall prevent recording until the user has completed or explicitly skipped the capture-permission test.","P0","R1","Test/Demo"
"ONB-003","When the user grants microphone permission, the system shall immediately verify that audio samples can be received and display an input-level indicator.","P0","R1","Test/Demo"
"ONB-004","When the user enables system-audio capture, the system shall play or request a test sound and verify that the selected system source is capturable.","P0","R1","Test/Demo"
"ONB-005","If an operating-system permission is denied, the system shall identify the denied permission and provide platform-specific steps to correct it.","P0","R1","Test/Demo"
"ONB-006","After the hardware assessment, the system shall present exactly three local summary profiles: Efficient using Gemma 4 E2B IT Q4, Balanced using Gemma 4 E4B IT Q4, and High Accuracy using Gemma 4 12B IT Q4.","P0","R1","Demo"
"ONB-007","For each local Gemma profile, the system shall display model size, expected free-memory demand, disk size, relative summary quality, expected speed, battery and thermal impact, recommended meeting complexity, and confirmation that inference remains local.","P0","R1","Demo/Inspect"
"ONB-008","When requested during installation or Settings, the system shall assess CPU, GPU, NPU where available, installed and currently available memory, free disk space, power state, and local inference throughput without uploading benchmark data.","P0","R1","Test/Perf"
"ONB-009","When the hardware assessment completes, the system shall mark exactly one Gemma profile as Recommended and provide a concise device-specific justification based on the measured constraints and expected user experience.","P0","R1","Demo"
"ONB-010","When the user selects a non-recommended profile, the system shall allow the override, explain the likely speed, quality, memory, battery, or thermal consequences, and suggest Record Only or deferred summarization if capture reliability could be affected.","P0","R1","Test/Demo"
"ONB-011","The system shall maintain an offline model catalog containing local model name, version, checksum, license, source, quantization, disk size, approximate load memory, supported hardware backends, context capacity, and product profile.","P0","R1","Inspect/Test"
"ONB-012","When a model is downloaded, the system shall verify its checksum before making it available for use.","P0","R1","Test"
"ONB-013","If model verification fails, the system shall quarantine the downloaded file and offer a retry without activating the model.","P0","R1","Test"
"ONB-014","When a newer compatible local model package is available, the system shall notify the user without changing the active model automatically unless signed model updates are enabled.","P1","R1","Test/Demo"
"ONB-015","Where automatic model updates are enabled, the system shall retain the previously working model until the new model passes a local health check.","P1","R1","Test"
"ONB-016","When a user removes a model, the system shall identify meetings or queued jobs that depend on the model and require confirmation before removal.","P1","R1","Test/Demo"
"ONB-017","The system shall allow models and application data to be stored on user-selected supported locations.","P1","R1","Test/Demo"
"ONB-018","If a selected storage location becomes unavailable, the system shall preserve metadata, prevent destructive writes, and guide the user to reconnect or relocate the library.","P0","R1","Test"
"ONB-019","The system shall provide a sample meeting that can validate transcription, summarization, evidence links, and export without recording a real conversation.","P1","R1","Demo"
"ONB-020","When onboarding is complete, the system shall display a readiness checklist for audio, available memory, hardware acceleration, storage, selected Gemma profile, local inference health, and 100% Local AI status.","P0","R1","Demo"
"ONB-021","The system shall allow users to rerun onboarding tests from Settings at any time.","P1","R1","Demo"
"ONB-022","The system shall use consistent product, repository, release, documentation, and support links across installers, the application, and generated artifacts.","P0","R1","Inspect"
"ONB-023","When an application update changes permissions, models, or data processing, the system shall present a focused migration explanation before the affected capability is used.","P0","R11","Test/Demo"
"ONB-024","The system shall provide keyboard-accessible onboarding and expose meaningful labels to assistive technologies.","P0","R11","Audit/Demo"
"OUT-001","The system shall generate meeting artifacts from a versioned structured schema rather than storing only unstructured summary text.","P0","R4","Inspect/Test"
"OUT-002","The system shall provide default artifact sections for overview, decisions, action items, risks, blockers, unanswered questions, and next agenda.","P0","R4","Test/Demo"
"OUT-003","When an action item is extracted, the system shall store description, owner, due date, status, confidence, and evidence links when available.","P0","R4","Test"
"OUT-004","If an action item has no identifiable owner, the system shall label the owner as unassigned and surface it for review.","P0","R4","Test/Demo"
"OUT-005","If a due date is implied but ambiguous, the system shall preserve the source phrase and request user confirmation instead of inventing a date.","P0","R4","Test/Demo"
"OUT-006","When a decision is extracted, the system shall store the decision, status, rationale, participants, and supporting evidence when available.","P0","R4","Test"
"OUT-007","The system shall distinguish confirmed decisions, proposals, questions, and unresolved options.","P0","R4","Test"
"OUT-008","Every extracted decision, task, risk, blocker, and key claim shall link to one or more transcript timestamps or state that supporting evidence was not found.","P0","R4","Test/Demo"
"OUT-009","When the user selects an evidence link, the system shall open the relevant transcript segment and media timestamp.","P0","R4","Test/Demo"
"OUT-010","The system shall record local Gemma model, quantization, runtime, template, prompt version, transcript version, context configuration, and generation timestamp for every artifact.","P0","R4","Test/Audit"
"OUT-011","The system shall provide default templates for General, Sales, Interview, Project, Research, Legal, Healthcare, and Lecture meetings.","P1","R4","Demo"
"OUT-012","The system shall allow users to create, duplicate, import, export, and version custom templates.","P1","R4","Test/Demo"
"OUT-013","A custom template shall define required sections, instructions, output schema, language, evidence policy, and optional routing rules.","P1","R4","Inspect/Test"
"OUT-014","If a custom template produces invalid structured output, the system shall retain the raw response, report validation errors, and offer repair or regeneration.","P0","R4","Test/Demo"
"OUT-015","The system shall allow users to regenerate one artifact section without overwriting other sections.","P0","R4","Test/Demo"
"OUT-016","When a user has edited an artifact, the system shall not overwrite the edit during regeneration without explicit confirmation.","P0","R4","Test"
"OUT-017","The system shall maintain artifact revision history and allow users to restore a previous version.","P1","R4","Test/Demo"
"OUT-018","The system shall allow transcript, summary, tasks, decisions, risks, and follow-up drafts to be edited in the application.","P0","R4","Demo"
"OUT-019","The system shall provide undo and redo for editing actions within a meeting session.","P0","R4","Test/Demo"
"OUT-020","The system shall allow users to mark extracted outcomes as approved, rejected, corrected, or needing review.","P1","R4","Test/Demo"
"OUT-021","When a meeting contains contradictory statements or decisions, the system shall surface the conflict with evidence rather than silently selecting one.","P1","R4","Test/Demo"
"OUT-022","When the same action item appears multiple times, the system shall suggest a consolidated item while preserving all evidence links.","P1","R4","Test/Demo"
"OUT-023","The system shall generate an email follow-up draft from approved meeting outcomes.","P0","R4","Test/Demo"
"OUT-024","The system shall generate a concise Slack or Teams update from approved meeting outcomes.","P1","R4","Test/Demo"
"OUT-025","The system shall generate a next-meeting agenda using unresolved items, open actions, and recent decisions.","P1","R10","Test/Demo"
"OUT-026","The system shall allow output language to be configured globally, per template, and per meeting.","P0","R4","Test/Demo"
"OUT-027","The system shall allow the user to select a tone and length for follow-up drafts without changing the factual outcome data.","P1","R4","Test/Demo"
"OUT-028","If a generated artifact contains content not supported by the transcript, the system shall allow the user to flag it as unsupported and include the case in local quality feedback.","P1","R4","Test/Demo"
"OUT-029","The system shall provide a completion checklist showing unassigned tasks, ambiguous dates, unsupported claims, failed artifacts, and unsent follow-ups.","P0","R4","Demo"
"OUT-030","When all required review items are resolved, the system shall allow the user to mark the meeting as complete.","P1","R4","Test/Demo"
"OUT-031","The system shall expose structured artifact data through local exports and the permissioned connector interface.","P0","R7","Test"
"OUT-032","The system shall support organization-approved template libraries in team deployments.","P1","R8","Test/Demo"
"OUT-033","Where a template is locked by policy, the system shall prevent unauthorized modification while allowing permitted per-meeting fields.","P1","R8","Test/Audit"
"OUT-034","The system shall evaluate summary and extraction quality, latency, memory use, and no-egress behavior against a versioned test corpus before promoting a local model, prompt, template, or runtime change.","P0","R11","Test/Audit"
"PRV-001","The system shall display a persistent 100% Local AI indicator for each active meeting, generated artifact, indexing job, and meeting-chat session.","P0","R1","Demo/Inspect"
"PRV-002","The system shall process capture, transcription, diarization, summarization, embeddings, retrieval, and meeting chat on user-controlled hardware and label the state as 100% Local AI.","P0","R1","Test/Demo"
"PRV-003","The system shall not send raw audio, video, transcript text, prompts, embeddings, retrieved evidence, or generated meeting intelligence to an external AI provider.","P0","R1","Test/Demo"
"PRV-004","Where an optional outbound integration is enabled, the system shall distinguish that integration from AI processing and preview the exact approved fields, destination, and purpose before transmission.","P0","R1","Demo"
"PRV-005","If an optional integration would transmit a broader payload than previously approved, the system shall pause the job and obtain new approval before transmission.","P0","R1","Test/Demo"
